City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
216,tralee,52.2704,-9.7026,13.140000000000043,76,75,4.12,IE,1697993660
217,sendafa,9.15,39.0333,12.310000000000002,72,97,3.03,ET,1697993660
218,cromwell,41.5951,-72.6454,13.140000000000043,63,100,5.14,US,1697993107
219,baoying,33.2292,119.3092,14.939999999999998,70,0,1.73,CN,1697993661
220,saipan,15.1355,145.701,28.390000000000043,83,75,6.69,MP,1697993661
221,saint-philippe,-21.3585,55.7679,22.77000000000004,76,33,2.86,RE,1697993661
222,meulaboh,4.1363,96.1285,24.230000000000018,89,100,1.7,ID,1697993662
223,kaga bandoro,6.9896,19.1874,25.99000000000001,78,75,1.28,CF,1697993662
224,byron bay,-28.65,153.6167,20.360000000000014,84,2,7.35,AU,1697993662
225,boguchany,58.3814,97.4531,-0.15999999999996817,87,62,1.79,RU,1697993663
226,ilulissat,69.2167,-51.1,-3.9899999999999523,58,11,6.17,GL,1697993663
227,piti village,13.4626,144.6933,27.27000000000004,87,0,3.09,GU,1697993663
228,big spring,32.2504,-101.4787,24.02000000000004,61,0,5.14,US,1697993663
229,cozumel,20.5083,-86.9458,31.08000000000004,72,68,4.92,MX,1697993628
230,kushiro,42.975,144.3747,7.5400000000000205,86,64,4.56,JP,1697993664
231,port macquarie,-31.4333,152.9167,14.939999999999998,42,0,5.13,AU,1697993644
232,velikiye luki,56.34,30.5452,5.300000000000011,96,100,2.76,RU,1697993664
233,san antonio de pale,-1.4014,5.6325,25.720000000000027,84,96,6.43,GQ,1697993665
234,olyokminsk,60.3736,120.4264,0.6700000000000159,93,99,3.46,RU,1697993665
235,virarajendrapet,12.2,75.8,19.680000000000007,92,69,0.84,IN,1697993666
236,ekibastuz,51.6667,75.3667,8.220000000000027,82,100,9.28,KZ,1697993666
237,vadso,70.0744,29.7487,-0.9099999999999682,69,75,5.66,NO,1697993666
238,susuman,62.7833,148.1667,-15.329999999999984,96,97,0.92,RU,1697993666
239,fortuna,40.5982,-124.1573,15.29000000000002,97,75,3.09,US,1697993667
240,pamiers,43.0833,1.5,14.710000000000036,68,100,3.14,FR,1697993667
241,nagqu,31.5,92.0,-4.46999999999997,79,53,1.73,CN,1697993667
242,pechory,57.8164,27.6119,3.7000000000000455,98,100,1.83,RU,1697993668
243,happy valley-goose bay,53.3168,-60.3315,6.170000000000016,61,100,11.83,CA,1697993668
244,geraldton,-28.7667,114.6,18.230000000000018,63,45,6.69,AU,1697993668
